product_key_id,product_id,brand,product_line,product_class,product_size,list_price,standard_cost
0,2,Solex,Standard,medium,medium,71.49,53.62
1,3,Trek Bicycles,Standard,medium,large,2091.47,388.92
2,37,OHM Cycles,Standard,low,medium,1793.43,248.82
3,88,Norco Bicycles,Standard,medium,medium,1198.46,381.1
4,78,Giant Bicycles,Standard,medium,large,1765.3,709.48
5,25,Giant Bicycles,Road,medium,medium,1538.99,829.65
6,22,WeareA2B,Standard,medium,medium,60.34,45.26
7,15,WeareA2B,Standard,medium,medium,1292.84,13.44
8,67,Solex,Standard,medium,large,1071.23,380.74
9,12,WeareA2B,Standard,medium,medium,1231.15,161.6
10,5,Trek Bicycles,Mountain,low,medium,574.64,459.71
11,61,OHM Cycles,Standard,low,medium,71.16,56.93
12,35,Trek Bicycles,Standard,low,medium,1057.51,154.4
13,16,Norco Bicycles,Standard,high,small,1661.92,1479.11
14,12,Giant Bicycles,Standard,medium,large,1765.3,709.48
15,79,Norco Bicycles,Standard,medium,medium,1555.58,818.01
16,33,Giant Bicycles,Standard,medium,small,1311.44,1167.18
17,54,WeareA2B,Standard,medium,medium,1292.84,13.44
18,27,Trek Bicycles,Standard,medium,medium,499.53,388.72
19,82,Giant Bicycles,Road,medium,medium,1538.99,829.65
20,89,WeareA2B,Touring,medium,large,1362.99,57.74
21,64,Trek Bicycles,Standard,medium,large,1469.44,596.55
22,19,Trek Bicycles,Mountain,low,medium,574.64,459.71
23,72,Norco Bicycles,Standard,medium,medium,360.4,270.3
24,91,WeareA2B,Standard,low,medium,642.31,513.85
25,1,Giant Bicycles,Standard,medium,medium,1403.5,954.82
26,99,Trek Bicycles,Road,low,small,1720.7,1531.42
27,0,Norco Bicycles,Road,medium,medium,544.05,376.84
28,92,WeareA2B,Standard,medium,small,1415.01,1259.36
29,14,Solex,Standard,high,large,1842.92,1105.75
30,44,WeareA2B,Standard,medium,medium,1769.64,108.76
31,79,Solex,Touring,medium,large,2083.94,675.03
32,76,WeareA2B,Standard,low,medium,642.31,513.85
33,46,Solex,Standard,low,medium,1289.85,74.51
34,55,Trek Bicycles,Road,medium,large,1894.19,598.76
35,66,Solex,Standard,medium,medium,1163.89,589.27
36,81,Solex,Standard,medium,medium,1151.96,649.49
37,86,OHM Cycles,Standard,medium,medium,235.63,125.07
38,32,Giant Bicycles,Standard,medium,medium,642.7,211.37
39,77,Norco Bicycles,Road,medium,large,1240.31,795.1
40,96,Giant Bicycles,Standard,medium,large,1635.3,993.66
41,6,OHM Cycles,Standard,high,medium,227.88,136.73
42,0,Norco Bicycles,Standard,low,medium,363.01,290.41
43,47,Trek Bicycles,Road,low,small,1720.7,1531.42
44,94,Giant Bicycles,Standard,medium,large,1635.3,993.66
45,91,Solex,Standard,medium,medium,100.35,75.26
46,93,OHM Cycles,Standard,high,medium,1458.17,874.9
47,60,Giant Bicycles,Standard,high,small,1977.36,1759.85
48,0,OHM Cycles,Road,high,large,12.01,7.21
